Id,norm.WT_SeedCoat_1,norm.WT_SeedCoat_2,norm.WT_SeedCoat_3,norm.WT_SeedCoat_4,norm.T_SeedCoat_1,norm.T_SeedCoat_2,norm.T_SeedCoat_3,norm.T_SeedCoat_4
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010000.2,7,2,20,13,29,6,2,13
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010000.3,3,12,4,0,8,0,6,22
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010000.4,112,285,119,160,261,104,194,18
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010000.5,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010000.6,28,45,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010000.7,72,0,53,34,85,13,43,12
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010000.8,144,73,50,10,202,140,125,87
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010100.1,0,0,0,0,8,0,0,17
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010200.1,0,0,2,7,55,0,0,3
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010300.1,0,0,2,2,47,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010400.1,0,0,0,1,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010500.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010500.2,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010600.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010600.2,0,0,0,0,15,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010700.1,2,9,53,78,83,0,39,7
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010700.2,494,632,519,873,350,586,902,497
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010700.3,836,822,1244,1249,1278,1442,1219,587
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010700.4,45,89,130,165,116,0,307,27
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010800.1,3,46,19,1,20,29,2,9
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010900.1,150,56,69,68,58,133,67,715
vigun.IT97K-499-35.gnm1.ann1.Vigun01g010900.2,33,9,5,0,8,0,0,23
vigun.IT97K-499-35.gnm1.ann1.Vigun01g011000.1,0,0,1,1,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g011100.1,440,465,457,449,907,434,596,678
vigun.IT97K-499-35.gnm1.ann1.Vigun01g011200.1,6525,5783,3830,4919,1488,4675,3666,21090
vigun.IT97K-499-35.gnm1.ann1.Vigun01g011300.1,67,91,48,3,118,85,11,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g011400.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g011500.1,25,3,12,7,42,14,2,3
vigun.IT97K-499-35.gnm1.ann1.Vigun01g011600.1,11,24,13,15,17,8,6,1
vigun.IT97K-499-35.gnm1.ann1.Vigun01g011700.1,360,619,714,657,516,624,769,515
vigun.IT97K-499-35.gnm1.ann1.Vigun01g011700.2,281,12,0,0,741,218,0,504
vigun.IT97K-499-35.gnm1.ann1.Vigun01g011800.1,19,45,20,21,0,12,46,8
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012000.1,407,127,115,102,127,298,147,838
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012000.2,0,192,72,125,102,114,174,176
vigun.IT97K-499-35.gnm1.ann1.Vigun01g012100.1,728,851,865,879,1765,686,937,821
