Id,norm.WT_Embryo_1,norm.WT_Embryo_2,norm.WT_Embryo_3,norm.WT_Embryo_4,norm.T_Embryo_1,norm.T_Embryo_2,norm.T_Embryo_3,norm.T_Embryo_4
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015600.2,60,175,95,251,196,86,444,714
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015700.1,0,0,0,5,3,0,27,16
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015700.2,1,3,2,0,0,2,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015800.1,2,0,6,12,4,0,3,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g015900.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g016000.1,12,94,111,97,82,77,186,183
vigun.IT97K-499-35.gnm1.ann1.Vigun01g016000.2,15,23,0,19,0,0,38,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g016100.1,21,37,0,0,0,0,0,7
vigun.IT97K-499-35.gnm1.ann1.Vigun01g016100.2,500,139,106,178,190,157,295,205
vigun.IT97K-499-35.gnm1.ann1.Vigun01g016200.1,168,87,59,61,125,86,66,62
vigun.IT97K-499-35.gnm1.ann1.Vigun01g016300.1,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g016400.1,3,7,10,18,24,37,767,413
vigun.IT97K-499-35.gnm1.ann1.Vigun01g016500.1,37,0,42,87,0,30,0,76
vigun.IT97K-499-35.gnm1.ann1.Vigun01g016500.2,0,0,0,0,0,0,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g016500.3,0,0,0,0,0,0,48,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g016500.4,0,39,45,0,70,59,0,0
vigun.IT97K-499-35.gnm1.ann1.Vigun01g016600.1,421,396,447,444,386,366,579,483
vigun.IT97K-499-35.gnm1.ann1.Vigun01g016700.1,44,12,79,80,35,108,60,59
